,mouse_id,part,aim,index,ctx_0,ctx_1,ctx_2,rule_0,rule_1,rule_2
249,206553,1,ce,20200721-142122,A,B,C,left ,left,left
176,206551,1,ce,20200721-150926,A,B,C,left ,left,left
116,206548,1,ce,20200721-155255,A,B,C,left ,left,left
210,206552,1,ce,20200721-162523,A,B,C,left ,left,left
146,206550,1,ce,20200721-170601,A,B,C,left ,left,left
62,2020061,1,ce,20200721-183836,A,B,C,left ,left,left
43,201034,1,ce,20200721-191521,A,B,C,left ,left,left
0,201033,1,ce,20200721-201748,A,B,C,left ,left,left
93,206534,1,ce,20200721-213035,A,B,C,left ,left,left
147,206550,1,ce,20200722-102844,A,B,C,left ,left,left
63,2020061,1,ce,20200722-124718,A,B,C,left ,left,left
44,201034,1,ce,20200722-132044,A,B,C,left ,left,left
94,206534,1,ce,20200722-140735,A,B,C,left ,left,left
1,201033,1,ce,20200722-144326,A,B,C,left ,left,left
250,206553,1,ce,20200722-153700,A,B,C,left ,left,left
211,206552,1,ce,20200722-160814,A,B,C,left ,left,left
117,206548,1,ce,20200722-165947,A,B,C,left ,left,left
177,206551,1,ce,20200722-173016,A,B,C,left ,left,left
148,206550,1,ce,20200723-103735,A,B,C,left ,left,left
64,2020061,1,ce,20200723-121530,A,B,C,left ,left,left
95,206534,1,ce,20200723-130702,A,B,C,left ,left,left
2,201033,1,ce,20200723-134341,A,B,C,left ,left,left
45,201034,1,ce,20200723-141934,A,B,C,left ,left,left
251,206553,1,ce,20200723-152854,A,B,C,left ,left,left
178,206551,1,ce,20200723-161605,A,B,C,left ,left,left
212,206552,1,ce,20200723-165152,A,B,C,left ,left,left
118,206548,1,ce,20200723-195923,A,B,C,left ,left,left
213,206552,1,ce,20200724-111821,A,B,C,left ,left,left
252,206553,1,ce,20200724-125348,A,B,C,left ,left,left
179,206551,1,ce,20200724-132613,A,B,C,left ,left,left
119,206548,1,ce,20200724-135451,A,B,C,left ,left,left
46,201034,1,ce,20200724-142523,A,B,C,left ,left,left
96,206534,1,ce,20200724-150153,A,B,C,left ,left,left
149,206550,1,ce,20200724-154119,A,B,C,left ,left,left
65,2020061,1,ce,20200724-161425,A,B,C,left ,left,left
3,201033,1,ce,20200724-165125,A,B,C,left ,left,left
150,206550,234,ce,20200727-111842,A,B,C,left ,left,left
151,206550,234,lg,20200727-113830,C,B,A,left ,left,left
47,201034,234,ce,20200727-134848,A,B,C,left ,left,left
48,201034,234,lg,20200727-141802,C,B,A,left ,left,left
4,201033,234,ce,20200727-144125,A,B,C,left ,left,left
5,201033,234,lg,20200727-150203,C,B,A,left ,left,left
66,2020061,234,ce,20200727-154349,A,B,C,left ,left,left
67,2020061,234,lg,20200727-160741,C,B,A,left ,left,left
97,206534,234,ce,20200727-163621,A,B,C,left ,left,left
98,206534,234,lg,20200727-165207,C,B,A,left ,left,left
6,201033,234,ce,20200728-134259,A,B,C,left ,left,left
7,201033,234,lg,20200728-135825,C,B,A,left ,left,left
99,206534,234,ce,20200728-150253,A,B,C,left ,left,left
100,206534,234,lg,20200728-152422,C,B,A,left ,left,left
68,2020061,234,ce,20200730-142031,A,B,C,left ,left,left
69,2020061,234,lg,20200730-143944,C,B,A,left ,left,left
153,206550,234,lg,20200730-150701,C,B,A,left ,left,left
152,206550,234,ce,20200730-153231,A,B,C,left ,left,left
49,201034,234,ce,20200730-161830,A,B,C,left ,left,left
50,201034,234,lg,20200730-163615,C,B,A,left ,left,left
253,206553,234,ce,20200730-202711,A,B,C,left ,left,left
